issue number,issue title,created at,closed at,state,number of comments
1,Rails is not Django,2009-04-01 04:24:23,2009-04-26 13:57:08,closed,11
2,more cowbell,2009-04-17 04:43:30,2009-04-21 21:46:35,closed,5
3, Status: 500 Internal Server Error   private method `split' called for Mime::Type in ,2009-04-28 12:01:59,2009-04-28 12:07:05,closed,1
326,rails.lighthouseapp.com inaccessible,2011-04-28 00:12:53,2011-04-28 02:29:49,closed,5
329,ActiveRecord Observer around callbacks do not receive a block to yield to,2011-04-28 01:23:13,2011-05-06 21:51:45,closed,8
330,Dynamic find_or_create_by_x_and_y calls always create a new record in Rails 2.3.11,2011-04-28 01:44:42,2011-04-28 02:04:35,closed,1
335,Rails::Server outputs 'http://' even when running over SSL,2011-04-28 10:03:18,2011-05-06 03:33:32,closed,1
337,Parameter Filter not working,2011-04-28 12:56:31,2012-03-03 23:39:00,closed,14
341,Validations' :if blocks are run before any :on checks are made,2011-04-28 18:49:02,2011-04-29 06:24:56,closed,4
342,AssetTagHelper ensures that files are in the wrong directory (again),2011-04-28 20:28:31,2011-05-09 11:52:23,closed,2
348,"Use PATCH verb instead of PUT for ""update""",2011-04-29 10:33:27,2011-05-07 09:59:11,closed,37
361,has_one polymorphic is creating circular dependency with parent model,2011-05-02 04:51:26,2012-04-27 20:06:03,closed,7
363,ActionMailer OldApi clobbers mime boundary header,2011-05-02 05:46:27,2011-06-12 03:39:00,closed,3
364,Access record information from converter (AR::Aggregation),2011-05-02 12:27:53,2012-06-19 02:16:11,closed,12
371,ActiveRecord::Relation#last ignores limit,2011-05-03 02:59:18,2011-05-08 10:31:53,closed,3
372,Rails 3 deleting a cookie AND calling reset_session does not send new session ID,2011-05-03 06:49:03,2011-05-23 23:48:48,closed,23
379,Lighthouse 5478 - Postgres and Sqlite3 no longer able to map to database views ,2011-05-03 18:01:44,2011-10-09 02:58:36,closed,2
385,Ignore,2011-05-04 16:46:00,2011-05-04 16:47:07,closed,0
386,"View specs fail with ""method `protect_against_forgery?' not defined in #<Module:0x10a678468>""",2011-05-04 16:47:16,2011-05-05 00:48:50,closed,3
393,textarea helper swallows leading newline,2011-05-05 08:40:10,2012-02-28 18:23:29,closed,46
398,Unnecessarily slow PostgreSQLAdapter#columns,2011-05-05 13:57:55,2011-05-05 14:38:26,closed,1
401,Rails Lighthouse down?,2011-05-05 17:02:37,2011-05-05 17:22:49,closed,6
402,Destroying a record with habtm association using foreign keys on association table raises a exception,2011-05-05 18:43:44,2011-07-08 23:22:01,closed,24
403,Polymorphic has_many through association causes nil in join table,2011-05-05 20:18:35,2011-05-07 10:28:31,closed,6
404,Move from lighthouse mess,2011-05-05 20:21:18,2011-05-16 12:44:30,closed,40
405,Nested attributes for polymorphic models,2011-05-05 21:35:32,2011-05-07 08:51:58,closed,3
406,default_scope adds order clause to aggregation queries,2011-05-05 21:45:16,2011-05-08 22:31:52,closed,5
407,STI with multiple models is 'lazy loaded',2011-05-05 22:56:07,2011-05-06 01:49:44,closed,2
409,Rakefile depends on gems from :test. Production deployment without them impossible,2011-05-06 08:29:22,2011-05-06 09:09:54,closed,3
411,Cannot save record whose field contains '?',2011-05-06 11:11:08,2011-05-09 20:54:19,closed,2
412,ExecJS missing runtime message needs to be improved,2011-05-06 11:12:45,2011-05-07 15:55:18,closed,20
415,ActiveRecord :has_many with :finder_sql generates invalid query,2011-05-06 12:41:42,2011-10-09 03:21:47,closed,9
416,We need rails.lighthouseapp.com back to public,2011-05-06 14:32:23,2011-05-06 15:00:30,closed,6
417,mysql2 bind variables need to be reworked,2011-05-06 15:54:29,2011-05-11 19:45:24,closed,1
421,Ajax request / before_filter session punting,2011-05-06 18:31:48,2011-05-06 19:29:35,closed,17
422,Bug in corelib.rubyonrails.org String documentation,2011-05-06 19:55:38,2011-05-07 09:50:03,closed,2
426,methodoverride does not appear anywhere in logs,2011-05-06 23:47:45,2011-05-07 10:50:30,closed,12
428,Can't run rake,2011-05-07 05:31:58,2011-05-08 10:34:26,closed,8
429,"Files from file_field coming through as Array, not File objects",2011-05-07 07:24:09,2011-05-07 22:12:47,closed,3
436,Sprockets doesn't work alongside with catch-all routes,2011-05-07 17:51:38,2011-05-08 11:00:01,closed,3
437,Lighthouse 6681 - Ordinalize Negative Numbers,2011-05-07 18:19:01,2011-05-07 19:32:01,closed,5
439,ActiveRecord Fixture class (lighthouse issue 6098),2011-05-07 19:42:23,2011-05-08 10:31:21,closed,6
440,I18n.t vs rails t helper,2011-05-07 19:48:42,2011-05-07 19:50:24,closed,1
441,XML Mini tests (test_xml_mini.rb) don't seem to get run,2011-05-07 20:31:25,2011-05-07 20:45:22,closed,1
443,Fix deprecation warnings in ActiveSupport (Related to Lighthouse #4618),2011-05-07 20:45:10,2011-05-10 16:21:58,closed,6
444,Lighthouse #6379 - accept header with */* does not match html templates,2011-05-07 20:45:27,2011-05-07 21:49:13,closed,1
